Stream,Course,Job,Skills Required,Duration,Post Graduation
Science,B.Tech,Researcher,"Research, Scientific Knowledge",5 years,MS
Science,Biotechnology,Researcher,"Research, Scientific Knowledge",5 years,Medical Specialization
Science,B.Sc,Engineer,"Problem-Solving, Analytical Thinking",4 years,Biotechnology PG
Science,MBBS,Lab Technician,"Hands-on Medical Skills, Patient Care Expertise",5 years,MCA
Science,MBBS,Researcher,"Problem-Solving, Analytical Thinking",3 years,Biotechnology PG
Science,Microbiology,Engineer,"Problem-Solving, Analytical Thinking",2 years,MCA
Science,Engineering,Lab Technician,"Innovation, Creativity in Solutions",3 years,M.Sc
Science,Nursing,Lab Technician,"Problem-Solving, Analytical Thinking",2 years,MCA
Science,Microbiology,Pharmacist,"Technical Skills, Engineering Fundamentals",4 years,M.Tech
Science,Engineering,Lab Technician,"Research, Scientific Knowledge",3 years,MD
Science,B.Sc,Engineer,"Hands-on Medical Skills, Patient Care Expertise",2 years,MS
Science,Engineering,Lab Technician,"Technical Skills, Engineering Fundamentals",2 years,Medical Specialization
Science,Biotechnology,Engineer,"Innovation, Creativity in Solutions",2 years,MS
Science,Biotechnology,Lab Technician,"Data Analysis, Laboratory Techniques",2 years,MS
Science,Biotechnology,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",5 years,M.Pharm
Science,Microbiology,Engineer,"Problem-Solving, Analytical Thinking",3 years,M.Tech
Science,B.Tech,Pharmacist,"Data Analysis, Laboratory Techniques",5 years,MS
Science,MBBS,Researcher,"Data Analysis, Laboratory Techniques",2 years,MS
Science,B.Pharm,Doctor,"Innovation, Creativity in Solutions",3 years,M.Pharm
Science,Biotechnology,Lab Technician,"Data Analysis, Laboratory Techniques",3 years,M.Pharm
Science,Biotechnology,Researcher,"Data Analysis, Laboratory Techniques",5 years,Medical Specialization
Science,B.Pharm,Lab Technician,"Research, Scientific Knowledge",2 years,MS
Science,Microbiology,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",3 years,M.Sc
Science,Nursing,Pharmacist,"Innovation, Creativity in Solutions",4 years,MS
Science,B.Tech,Lab Technician,"Technical Skills, Engineering Fundamentals",5 years,Biotechnology PG
Science,Engineering,Doctor,"Problem-Solving, Analytical Thinking",3 years,M.Tech
Science,B.Sc,Researcher,"Technical Skills, Engineering Fundamentals",3 years,M.Tech
Science,MBBS,Engineer,"Research, Scientific Knowledge",2 years,MS
Science,B.Pharm,Engineer,"Hands-on Medical Skills, Patient Care Expertise",5 years,Medical Specialization
Science,B.Pharm,Researcher,"Innovation, Creativity in Solutions",4 years,M.Tech
Science,B.Tech,Researcher,"Hands-on Medical Skills, Patient Care Expertise",5 years,Biotechnology PG
Science,B.Sc,Data Scientist,"Problem-Solving, Analytical Thinking",3 years,MCA
Science,Nursing,Data Scientist,"Data Analysis, Laboratory Techniques",5 years,Medical Specialization
Science,Nursing,Data Scientist,"Problem-Solving, Analytical Thinking",2 years,Medical Specialization
Science,B.Tech,Lab Technician,"Technical Skills, Engineering Fundamentals",5 years,MD
Science,B.Sc,Pharmacist,"Research, Scientific Knowledge",5 years,MS
Science,Engineering,Doctor,"Hands-on Medical Skills, Patient Care Expertise",3 years,M.Tech
Science,B.Pharm,Lab Technician,"Research, Scientific Knowledge",2 years,MCA
Science,Microbiology,Doctor,"Innovation, Creativity in Solutions",2 years,M.Pharm
Science,Biotechnology,Data Scientist,"Technical Skills, Engineering Fundamentals",4 years,Medical Specialization
Science,B.Sc,Lab Technician,"Innovation, Creativity in Solutions",5 years,MS
Science,Nursing,Researcher,"Data Analysis, Laboratory Techniques",2 years,Biotechnology PG
Science,B.Pharm,Pharmacist,"Technical Skills, Engineering Fundamentals",2 years,MD
Science,B.Sc,Doctor,"Hands-on Medical Skills, Patient Care Expertise",2 years,Biotechnology PG
Science,B.Tech,Doctor,"Problem-Solving, Analytical Thinking",4 years,MS
Science,MBBS,Lab Technician,"Research, Scientific Knowledge",4 years,M.Sc
Science,Engineering,Data Scientist,"Research, Scientific Knowledge",4 years,MCA
Science,Engineering,Lab Technician,"Hands-on Medical Skills, Patient Care Expertise",2 years,M.Pharm
Science,Biotechnology,Pharmacist,"Technical Skills, Engineering Fundamentals",5 years,Medical Specialization
Science,MBBS,Data Scientist,"Research, Scientific Knowledge",2 years,MCA
Science,Engineering,Data Scientist,"Data Analysis, Laboratory Techniques",3 years,M.Sc
Science,Microbiology,Pharmacist,"Technical Skills, Engineering Fundamentals",3 years,M.Tech
Science,Biotechnology,Doctor,"Innovation, Creativity in Solutions",5 years,M.Tech
Science,MBBS,Engineer,"Hands-on Medical Skills, Patient Care Expertise",2 years,Biotechnology PG
Science,B.Tech,Doctor,"Research, Scientific Knowledge",4 years,MS
Science,Nursing,Doctor,"Data Analysis, Laboratory Techniques",2 years,Biotechnology PG
Science,B.Tech,Data Scientist,"Innovation, Creativity in Solutions",5 years,M.Pharm
Science,Engineering,Data Scientist,"Data Analysis, Laboratory Techniques",4 years,M.Sc
Science,Nursing,Engineer,"Data Analysis, Laboratory Techniques",2 years,M.Sc
Science,Nursing,Doctor,"Research, Scientific Knowledge",5 years,MCA
Science,Nursing,Researcher,"Research, Scientific Knowledge",4 years,M.Sc
Science,Engineering,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",2 years,M.Sc
Science,Engineering,Engineer,"Data Analysis, Laboratory Techniques",2 years,MD
Science,B.Sc,Data Scientist,"Problem-Solving, Analytical Thinking",4 years,MCA
Science,Microbiology,Lab Technician,"Innovation, Creativity in Solutions",5 years,M.Sc
Science,B.Tech,Doctor,"Technical Skills, Engineering Fundamentals",5 years,Medical Specialization
Science,Engineering,Lab Technician,"Hands-on Medical Skills, Patient Care Expertise",3 years,MS
Science,Engineering,Lab Technician,"Research, Scientific Knowledge",3 years,MD
Science,B.Sc,Lab Technician,"Data Analysis, Laboratory Techniques",4 years,MS
Science,MBBS,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",2 years,M.Sc
Science,B.Pharm,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",5 years,Medical Specialization
Science,Engineering,Data Scientist,"Technical Skills, Engineering Fundamentals",2 years,MD
Science,B.Tech,Researcher,"Technical Skills, Engineering Fundamentals",4 years,M.Sc
Science,Microbiology,Pharmacist,"Technical Skills, Engineering Fundamentals",3 years,M.Sc
Science,Biotechnology,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",3 years,MCA
Science,Nursing,Researcher,"Hands-on Medical Skills, Patient Care Expertise",2 years,M.Sc
Science,Biotechnology,Pharmacist,"Problem-Solving, Analytical Thinking",2 years,Medical Specialization
Science,B.Pharm,Data Scientist,"Research, Scientific Knowledge",5 years,MCA
Science,Microbiology,Pharmacist,"Innovation, Creativity in Solutions",5 years,Medical Specialization
Science,MBBS,Lab Technician,"Hands-on Medical Skills, Patient Care Expertise",3 years,M.Tech
Science,Biotechnology,Doctor,"Technical Skills, Engineering Fundamentals",2 years,MCA
Science,B.Tech,Data Scientist,"Data Analysis, Laboratory Techniques",2 years,Biotechnology PG
Science,Engineering,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",4 years,Medical Specialization
Science,B.Tech,Engineer,"Innovation, Creativity in Solutions",4 years,Medical Specialization
Science,Microbiology,Lab Technician,"Hands-on Medical Skills, Patient Care Expertise",2 years,M.Tech
Science,Biotechnology,Data Scientist,"Data Analysis, Laboratory Techniques",3 years,MCA
Science,B.Pharm,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",3 years,M.Sc
Science,B.Tech,Researcher,"Innovation, Creativity in Solutions",4 years,Biotechnology PG
Science,B.Sc,Researcher,"Technical Skills, Engineering Fundamentals",5 years,M.Sc
Science,B.Tech,Researcher,"Hands-on Medical Skills, Patient Care Expertise",2 years,Medical Specialization
Science,Biotechnology,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",2 years,MD
Science,Engineering,Data Scientist,"Research, Scientific Knowledge",4 years,M.Tech
Science,B.Pharm,Engineer,"Research, Scientific Knowledge",5 years,M.Pharm
Science,Biotechnology,Pharmacist,"Problem-Solving, Analytical Thinking",2 years,MD
Science,Nursing,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",5 years,M.Sc
Science,Biotechnology,Researcher,"Problem-Solving, Analytical Thinking",4 years,Medical Specialization
Science,B.Sc,Lab Technician,"Innovation, Creativity in Solutions",2 years,Biotechnology PG
Science,MBBS,Data Scientist,"Problem-Solving, Analytical Thinking",2 years,M.Tech
Science,B.Sc,Pharmacist,"Innovation, Creativity in Solutions",5 years,M.Tech
Science,B.Tech,Lab Technician,"Data Analysis, Laboratory Techniques",2 years,MD
Science,B.Sc,Researcher,"Problem-Solving, Analytical Thinking",4 years,MCA
Science,B.Sc,Data Scientist,"Innovation, Creativity in Solutions",4 years,MD
Science,Microbiology,Engineer,"Problem-Solving, Analytical Thinking",3 years,M.Sc
Science,B.Pharm,Engineer,"Data Analysis, Laboratory Techniques",4 years,Medical Specialization
Science,B.Sc,Lab Technician,"Hands-on Medical Skills, Patient Care Expertise",5 years,Biotechnology PG
Science,Nursing,Lab Technician,"Innovation, Creativity in Solutions",2 years,M.Sc
Science,B.Tech,Engineer,"Data Analysis, Laboratory Techniques",2 years,M.Sc
Science,Engineering,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",4 years,Medical Specialization
Science,Microbiology,Pharmacist,"Technical Skills, Engineering Fundamentals",3 years,MS
Science,Engineering,Lab Technician,"Data Analysis, Laboratory Techniques",5 years,M.Sc
Science,B.Sc,Researcher,"Data Analysis, Laboratory Techniques",5 years,M.Tech
Science,B.Tech,Researcher,"Hands-on Medical Skills, Patient Care Expertise",3 years,M.Tech
Science,MBBS,Lab Technician,"Problem-Solving, Analytical Thinking",5 years,M.Pharm
Science,Microbiology,Lab Technician,"Problem-Solving, Analytical Thinking",3 years,Biotechnology PG
Science,MBBS,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",4 years,MD
Science,MBBS,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",3 years,MCA
Science,Biotechnology,Data Scientist,"Research, Scientific Knowledge",3 years,M.Tech
Science,Engineering,Engineer,"Research, Scientific Knowledge",2 years,Biotechnology PG
Science,Engineering,Researcher,"Problem-Solving, Analytical Thinking",3 years,M.Pharm
Science,B.Pharm,Data Scientist,"Technical Skills, Engineering Fundamentals",4 years,Biotechnology PG
Science,MBBS,Pharmacist,"Innovation, Creativity in Solutions",2 years,Biotechnology PG
Science,Engineering,Data Scientist,"Problem-Solving, Analytical Thinking",3 years,MCA
Science,B.Tech,Pharmacist,"Technical Skills, Engineering Fundamentals",3 years,MCA
Science,Engineering,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",5 years,MS
Science,B.Sc,Pharmacist,"Research, Scientific Knowledge",5 years,M.Pharm
Science,Nursing,Researcher,"Data Analysis, Laboratory Techniques",4 years,MS
Science,Engineering,Data Scientist,"Technical Skills, Engineering Fundamentals",5 years,M.Sc
Science,Nursing,Researcher,"Technical Skills, Engineering Fundamentals",4 years,M.Pharm
Science,MBBS,Researcher,"Technical Skills, Engineering Fundamentals",4 years,M.Sc
Science,B.Tech,Lab Technician,"Data Analysis, Laboratory Techniques",3 years,MS
Science,B.Sc,Researcher,"Technical Skills, Engineering Fundamentals",2 years,M.Pharm
Science,MBBS,Researcher,"Research, Scientific Knowledge",4 years,M.Sc
Science,MBBS,Pharmacist,"Data Analysis, Laboratory Techniques",3 years,M.Sc
Science,B.Tech,Engineer,"Technical Skills, Engineering Fundamentals",4 years,M.Pharm
Science,B.Sc,Researcher,"Hands-on Medical Skills, Patient Care Expertise",4 years,M.Sc
Science,B.Pharm,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",2 years,M.Sc
Science,MBBS,Pharmacist,"Innovation, Creativity in Solutions",5 years,MCA
Science,Biotechnology,Engineer,"Research, Scientific Knowledge",5 years,MS
Science,B.Pharm,Lab Technician,"Data Analysis, Laboratory Techniques",5 years,Biotechnology PG
Science,Biotechnology,Lab Technician,"Innovation, Creativity in Solutions",2 years,M.Pharm
Science,B.Tech,Data Scientist,"Research, Scientific Knowledge",4 years,Medical Specialization
Science,B.Tech,Engineer,"Problem-Solving, Analytical Thinking",2 years,M.Tech
Science,B.Pharm,Data Scientist,"Research, Scientific Knowledge",3 years,MD
Science,Biotechnology,Lab Technician,"Problem-Solving, Analytical Thinking",2 years,MS
Science,Engineering,Engineer,"Innovation, Creativity in Solutions",5 years,Biotechnology PG
Science,B.Sc,Lab Technician,"Data Analysis, Laboratory Techniques",2 years,MS
Science,B.Sc,Data Scientist,"Research, Scientific Knowledge",4 years,M.Pharm
Science,Engineering,Data Scientist,"Innovation, Creativity in Solutions",2 years,MCA
Science,B.Sc,Researcher,"Hands-on Medical Skills, Patient Care Expertise",3 years,M.Pharm
Science,Microbiology,Lab Technician,"Data Analysis, Laboratory Techniques",3 years,MCA
Science,B.Pharm,Engineer,"Research, Scientific Knowledge",4 years,M.Pharm
Science,MBBS,Researcher,"Technical Skills, Engineering Fundamentals",3 years,Biotechnology PG
Science,B.Tech,Data Scientist,"Research, Scientific Knowledge",2 years,M.Sc
Science,Microbiology,Researcher,"Technical Skills, Engineering Fundamentals",4 years,MD
Science,Biotechnology,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",5 years,M.Pharm
Science,MBBS,Doctor,"Research, Scientific Knowledge",2 years,M.Sc
Science,B.Tech,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",4 years,M.Pharm
Science,B.Pharm,Engineer,"Hands-on Medical Skills, Patient Care Expertise",4 years,Medical Specialization
Science,Nursing,Data Scientist,"Technical Skills, Engineering Fundamentals",3 years,M.Sc
Science,Nursing,Data Scientist,"Data Analysis, Laboratory Techniques",4 years,Biotechnology PG
Science,Engineering,Researcher,"Technical Skills, Engineering Fundamentals",5 years,M.Sc
Science,Microbiology,Pharmacist,"Technical Skills, Engineering Fundamentals",2 years,Biotechnology PG
Science,MBBS,Engineer,"Technical Skills, Engineering Fundamentals",2 years,M.Sc
Science,B.Pharm,Engineer,"Research, Scientific Knowledge",3 years,M.Tech
Science,B.Sc,Researcher,"Data Analysis, Laboratory Techniques",4 years,MD
Science,B.Tech,Engineer,"Problem-Solving, Analytical Thinking",3 years,MCA
Science,Microbiology,Researcher,"Innovation, Creativity in Solutions",5 years,M.Sc
Science,Nursing,Pharmacist,"Data Analysis, Laboratory Techniques",2 years,MD
Science,Biotechnology,Engineer,"Hands-on Medical Skills, Patient Care Expertise",4 years,Medical Specialization
Science,Biotechnology,Pharmacist,"Innovation, Creativity in Solutions",5 years,MD
Science,Nursing,Doctor,"Innovation, Creativity in Solutions",5 years,M.Tech
Science,B.Sc,Lab Technician,"Innovation, Creativity in Solutions",3 years,MS
Science,B.Sc,Engineer,"Innovation, Creativity in Solutions",3 years,M.Tech
Science,Biotechnology,Researcher,"Research, Scientific Knowledge",5 years,M.Sc
Science,MBBS,Data Scientist,"Data Analysis, Laboratory Techniques",2 years,MCA
Science,MBBS,Engineer,"Technical Skills, Engineering Fundamentals",5 years,MS
Science,Nursing,Lab Technician,"Research, Scientific Knowledge",5 years,M.Pharm
Science,Microbiology,Doctor,"Hands-on Medical Skills, Patient Care Expertise",5 years,M.Tech
Science,B.Pharm,Researcher,"Innovation, Creativity in Solutions",3 years,Biotechnology PG
Science,B.Sc,Engineer,"Innovation, Creativity in Solutions",5 years,MS
Science,Microbiology,Pharmacist,"Technical Skills, Engineering Fundamentals",2 years,M.Pharm
Science,B.Sc,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",3 years,M.Tech
Science,B.Pharm,Lab Technician,"Innovation, Creativity in Solutions",4 years,M.Tech
Science,Biotechnology,Lab Technician,"Technical Skills, Engineering Fundamentals",2 years,Medical Specialization
Science,B.Tech,Data Scientist,"Innovation, Creativity in Solutions",5 years,MS
Science,Biotechnology,Engineer,"Research, Scientific Knowledge",4 years,Medical Specialization
Science,MBBS,Pharmacist,"Research, Scientific Knowledge",2 years,Biotechnology PG
Science,MBBS,Doctor,"Innovation, Creativity in Solutions",5 years,MD
Science,MBBS,Doctor,"Research, Scientific Knowledge",5 years,MS
Science,B.Sc,Lab Technician,"Data Analysis, Laboratory Techniques",3 years,Biotechnology PG
Science,MBBS,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",4 years,MS
Science,MBBS,Data Scientist,"Problem-Solving, Analytical Thinking",3 years,Medical Specialization
Science,MBBS,Data Scientist,"Data Analysis, Laboratory Techniques",2 years,MD
Science,B.Sc,Data Scientist,"Innovation, Creativity in Solutions",3 years,Medical Specialization
Science,B.Tech,Data Scientist,"Research, Scientific Knowledge",5 years,Medical Specialization
Science,Microbiology,Researcher,"Hands-on Medical Skills, Patient Care Expertise",5 years,Medical Specialization
Science,Nursing,Doctor,"Technical Skills, Engineering Fundamentals",3 years,M.Tech
Science,Biotechnology,Doctor,"Problem-Solving, Analytical Thinking",5 years,MD
Science,Engineering,Researcher,"Innovation, Creativity in Solutions",5 years,M.Pharm
Science,MBBS,Researcher,"Data Analysis, Laboratory Techniques",2 years,M.Tech
Science,Microbiology,Pharmacist,"Research, Scientific Knowledge",2 years,Biotechnology PG
Science,B.Tech,Engineer,"Data Analysis, Laboratory Techniques",2 years,M.Sc
Science,B.Tech,Engineer,"Hands-on Medical Skills, Patient Care Expertise",3 years,MD
Science,B.Tech,Lab Technician,"Research, Scientific Knowledge",4 years,MD
Science,B.Sc,Doctor,"Research, Scientific Knowledge",4 years,MCA
Science,Engineering,Doctor,"Problem-Solving, Analytical Thinking",3 years,MCA
Science,Biotechnology,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",2 years,Biotechnology PG
Science,Biotechnology,Pharmacist,"Data Analysis, Laboratory Techniques",3 years,Biotechnology PG
Science,B.Tech,Pharmacist,"Problem-Solving, Analytical Thinking",4 years,MS
Science,MBBS,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",2 years,MS
Science,Nursing,Lab Technician,"Data Analysis, Laboratory Techniques",3 years,MCA
Science,Engineering,Data Scientist,"Research, Scientific Knowledge",5 years,MD
Science,MBBS,Engineer,"Data Analysis, Laboratory Techniques",4 years,MCA
Science,Biotechnology,Lab Technician,"Research, Scientific Knowledge",3 years,Biotechnology PG
Science,B.Pharm,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",2 years,MCA
Science,B.Pharm,Pharmacist,"Problem-Solving, Analytical Thinking",5 years,Biotechnology PG
Science,B.Pharm,Data Scientist,"Problem-Solving, Analytical Thinking",3 years,MCA
Science,MBBS,Doctor,"Problem-Solving, Analytical Thinking",4 years,MS
Science,B.Pharm,Engineer,"Research, Scientific Knowledge",4 years,MS
Science,B.Tech,Doctor,"Data Analysis, Laboratory Techniques",2 years,MD
Science,MBBS,Data Scientist,"Data Analysis, Laboratory Techniques",5 years,Biotechnology PG
Science,Biotechnology,Data Scientist,"Technical Skills, Engineering Fundamentals",3 years,MD
Science,Biotechnology,Data Scientist,"Data Analysis, Laboratory Techniques",3 years,MS
Science,B.Pharm,Engineer,"Research, Scientific Knowledge",4 years,MCA
Science,Engineering,Engineer,"Hands-on Medical Skills, Patient Care Expertise",5 years,MD
Science,Biotechnology,Data Scientist,"Problem-Solving, Analytical Thinking",2 years,MD
Science,B.Tech,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",5 years,Medical Specialization
Science,Nursing,Engineer,"Data Analysis, Laboratory Techniques",5 years,M.Tech
Science,Microbiology,Lab Technician,"Problem-Solving, Analytical Thinking",2 years,M.Sc
Science,MBBS,Pharmacist,"Research, Scientific Knowledge",3 years,MS
Science,Engineering,Doctor,"Hands-on Medical Skills, Patient Care Expertise",4 years,MD
Science,B.Pharm,Researcher,"Problem-Solving, Analytical Thinking",4 years,M.Tech
Science,B.Pharm,Engineer,"Data Analysis, Laboratory Techniques",2 years,MS
Science,MBBS,Engineer,"Hands-on Medical Skills, Patient Care Expertise",2 years,M.Sc
Science,B.Pharm,Pharmacist,"Data Analysis, Laboratory Techniques",3 years,MD
Science,Engineering,Researcher,"Technical Skills, Engineering Fundamentals",5 years,M.Pharm
Science,B.Tech,Researcher,"Technical Skills, Engineering Fundamentals",2 years,M.Sc
Science,B.Tech,Engineer,"Hands-on Medical Skills, Patient Care Expertise",2 years,Biotechnology PG
Science,B.Tech,Engineer,"Hands-on Medical Skills, Patient Care Expertise",4 years,Biotechnology PG
Science,B.Tech,Researcher,"Innovation, Creativity in Solutions",3 years,MS
Science,B.Sc,Data Scientist,"Data Analysis, Laboratory Techniques",4 years,M.Sc
Science,B.Sc,Lab Technician,"Innovation, Creativity in Solutions",4 years,M.Tech
Science,B.Tech,Data Scientist,"Innovation, Creativity in Solutions",5 years,MCA
Science,Biotechnology,Data Scientist,"Technical Skills, Engineering Fundamentals",4 years,M.Pharm
Science,Nursing,Researcher,"Hands-on Medical Skills, Patient Care Expertise",5 years,M.Pharm
Science,B.Pharm,Engineer,"Innovation, Creativity in Solutions",4 years,M.Sc
Science,MBBS,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",3 years,Biotechnology PG
Science,MBBS,Lab Technician,"Data Analysis, Laboratory Techniques",4 years,M.Pharm
