Stream,Course,Job,Skills Required,Duration,Post Graduation
Science,MBBS,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",4 years,MS
Science,B.Tech,Engineer,"Data Analysis, Laboratory Techniques",3 years,Biotechnology PG
Science,B.Pharm,Engineer,"Hands-on Medical Skills, Patient Care Expertise",4 years,MD
Science,B.Pharm,Lab Technician,"Data Analysis, Laboratory Techniques",2 years,M.Tech
Science,Nursing,Data Scientist,"Data Analysis, Laboratory Techniques",3 years,M.Sc
Science,B.Sc,Researcher,"Problem-Solving, Analytical Thinking",4 years,Biotechnology PG
Science,Engineering,Pharmacist,"Data Analysis, Laboratory Techniques",2 years,MS
Science,B.Sc,Doctor,"Innovation, Creativity in Solutions",3 years,Biotechnology PG
Science,Engineering,Lab Technician,"Technical Skills, Engineering Fundamentals",2 years,Biotechnology PG
Science,MBBS,Data Scientist,"Innovation, Creativity in Solutions",2 years,MS
Science,Engineering,Lab Technician,"Innovation, Creativity in Solutions",2 years,MD
Science,B.Sc,Doctor,"Hands-on Medical Skills, Patient Care Expertise",5 years,Medical Specialization
Science,B.Sc,Pharmacist,"Innovation, Creativity in Solutions",5 years,Medical Specialization
Science,Biotechnology,Lab Technician,"Technical Skills, Engineering Fundamentals",5 years,MD
Science,Engineering,Lab Technician,"Research, Scientific Knowledge",5 years,MS
Science,Microbiology,Lab Technician,"Innovation, Creativity in Solutions",2 years,M.Tech
Science,Biotechnology,Pharmacist,"Research, Scientific Knowledge",4 years,M.Sc
Science,B.Tech,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",4 years,MCA
Science,B.Tech,Engineer,"Hands-on Medical Skills, Patient Care Expertise",5 years,Biotechnology PG
Science,Biotechnology,Lab Technician,"Technical Skills, Engineering Fundamentals",4 years,M.Pharm
Science,Nursing,Researcher,"Problem-Solving, Analytical Thinking",2 years,Medical Specialization
Science,B.Sc,Pharmacist,"Data Analysis, Laboratory Techniques",2 years,MD
Science,B.Tech,Doctor,"Research, Scientific Knowledge",4 years,M.Tech
Science,B.Sc,Researcher,"Research, Scientific Knowledge",4 years,Biotechnology PG
Science,Biotechnology,Data Scientist,"Innovation, Creativity in Solutions",3 years,M.Sc
Science,B.Tech,Lab Technician,"Data Analysis, Laboratory Techniques",4 years,MS
Science,Engineering,Data Scientist,"Innovation, Creativity in Solutions",4 years,M.Sc
Science,Nursing,Researcher,"Research, Scientific Knowledge",2 years,MS
Science,Biotechnology,Lab Technician,"Hands-on Medical Skills, Patient Care Expertise",3 years,Biotechnology PG
Science,MBBS,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",2 years,MCA
Science,B.Tech,Doctor,"Hands-on Medical Skills, Patient Care Expertise",2 years,M.Tech
Science,B.Sc,Engineer,"Innovation, Creativity in Solutions",4 years,M.Sc
Science,Biotechnology,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",4 years,M.Sc
Science,Biotechnology,Data Scientist,"Problem-Solving, Analytical Thinking",2 years,M.Tech
Science,B.Pharm,Researcher,"Innovation, Creativity in Solutions",3 years,M.Sc
Science,B.Pharm,Data Scientist,"Research, Scientific Knowledge",3 years,M.Tech
Science,B.Tech,Data Scientist,"Problem-Solving, Analytical Thinking",2 years,M.Sc
Science,Nursing,Pharmacist,"Research, Scientific Knowledge",5 years,M.Sc
Science,Biotechnology,Pharmacist,"Data Analysis, Laboratory Techniques",5 years,MS
Science,Engineering,Researcher,"Hands-on Medical Skills, Patient Care Expertise",2 years,Biotechnology PG
Science,B.Pharm,Doctor,"Problem-Solving, Analytical Thinking",3 years,Biotechnology PG
Science,B.Pharm,Engineer,"Data Analysis, Laboratory Techniques",3 years,Medical Specialization
Science,B.Pharm,Engineer,"Research, Scientific Knowledge",2 years,M.Tech
Science,Biotechnology,Data Scientist,"Research, Scientific Knowledge",4 years,MD
Science,Engineering,Engineer,"Technical Skills, Engineering Fundamentals",5 years,Biotechnology PG
Science,B.Pharm,Researcher,"Data Analysis, Laboratory Techniques",2 years,M.Tech
Science,Engineering,Researcher,"Technical Skills, Engineering Fundamentals",3 years,Biotechnology PG
Science,B.Pharm,Data Scientist,"Innovation, Creativity in Solutions",2 years,M.Pharm
Science,B.Sc,Doctor,"Research, Scientific Knowledge",2 years,MCA
Science,B.Pharm,Data Scientist,"Innovation, Creativity in Solutions",4 years,Medical Specialization
Science,Microbiology,Lab Technician,"Research, Scientific Knowledge",2 years,M.Pharm
Science,B.Sc,Doctor,"Data Analysis, Laboratory Techniques",3 years,Biotechnology PG
Science,B.Tech,Engineer,"Innovation, Creativity in Solutions",2 years,MS
Science,B.Sc,Engineer,"Problem-Solving, Analytical Thinking",2 years,M.Sc
Science,MBBS,Researcher,"Technical Skills, Engineering Fundamentals",3 years,Biotechnology PG
Science,B.Sc,Researcher,"Data Analysis, Laboratory Techniques",2 years,M.Pharm
Science,B.Sc,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",3 years,MS
Science,Microbiology,Data Scientist,"Data Analysis, Laboratory Techniques",5 years,MCA
Science,B.Sc,Doctor,"Innovation, Creativity in Solutions",5 years,MS
Science,Engineering,Doctor,"Hands-on Medical Skills, Patient Care Expertise",5 years,M.Pharm
Science,Engineering,Doctor,"Research, Scientific Knowledge",4 years,M.Tech
Science,Engineering,Doctor,"Innovation, Creativity in Solutions",2 years,M.Sc
Science,Biotechnology,Data Scientist,"Research, Scientific Knowledge",4 years,M.Sc
Science,MBBS,Data Scientist,"Innovation, Creativity in Solutions",4 years,M.Pharm
Science,MBBS,Researcher,"Innovation, Creativity in Solutions",2 years,M.Sc
Science,B.Pharm,Doctor,"Research, Scientific Knowledge",5 years,M.Sc
Science,Biotechnology,Doctor,"Hands-on Medical Skills, Patient Care Expertise",5 years,MD
Science,Nursing,Data Scientist,"Technical Skills, Engineering Fundamentals",5 years,Medical Specialization
Science,Microbiology,Pharmacist,"Research, Scientific Knowledge",4 years,M.Sc
Science,Microbiology,Data Scientist,"Problem-Solving, Analytical Thinking",4 years,M.Pharm
Science,B.Tech,Researcher,"Technical Skills, Engineering Fundamentals",5 years,Biotechnology PG
Science,B.Sc,Researcher,"Innovation, Creativity in Solutions",2 years,MS
Science,B.Tech,Lab Technician,"Research, Scientific Knowledge",2 years,MS
Science,B.Pharm,Doctor,"Data Analysis, Laboratory Techniques",3 years,M.Sc
Science,Biotechnology,Lab Technician,"Data Analysis, Laboratory Techniques",5 years,MCA
Science,Engineering,Doctor,"Hands-on Medical Skills, Patient Care Expertise",2 years,MS
Science,Engineering,Researcher,"Hands-on Medical Skills, Patient Care Expertise",3 years,M.Tech
Science,MBBS,Lab Technician,"Technical Skills, Engineering Fundamentals",4 years,Biotechnology PG
Science,B.Pharm,Pharmacist,"Research, Scientific Knowledge",4 years,MD
Science,Biotechnology,Pharmacist,"Research, Scientific Knowledge",4 years,Biotechnology PG
Science,Microbiology,Data Scientist,"Data Analysis, Laboratory Techniques",4 years,Biotechnology PG
Science,Microbiology,Lab Technician,"Data Analysis, Laboratory Techniques",4 years,Biotechnology PG
Science,Nursing,Data Scientist,"Data Analysis, Laboratory Techniques",4 years,MS
Science,Engineering,Engineer,"Problem-Solving, Analytical Thinking",3 years,Biotechnology PG
Science,B.Tech,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",2 years,MD
Science,Microbiology,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",3 years,M.Tech
Science,Biotechnology,Doctor,"Innovation, Creativity in Solutions",5 years,M.Sc
Science,Engineering,Doctor,"Hands-on Medical Skills, Patient Care Expertise",3 years,MS
Science,MBBS,Lab Technician,"Innovation, Creativity in Solutions",2 years,Biotechnology PG
Science,Biotechnology,Lab Technician,"Research, Scientific Knowledge",3 years,M.Pharm
Science,Biotechnology,Data Scientist,"Data Analysis, Laboratory Techniques",5 years,MS
Science,Microbiology,Doctor,"Technical Skills, Engineering Fundamentals",3 years,MCA
Science,B.Pharm,Engineer,"Data Analysis, Laboratory Techniques",3 years,M.Sc
Science,MBBS,Pharmacist,"Research, Scientific Knowledge",2 years,Medical Specialization
Science,Biotechnology,Lab Technician,"Data Analysis, Laboratory Techniques",5 years,Medical Specialization
Science,B.Pharm,Engineer,"Technical Skills, Engineering Fundamentals",5 years,M.Tech
Science,Engineering,Engineer,"Innovation, Creativity in Solutions",5 years,MS
Science,Nursing,Engineer,"Research, Scientific Knowledge",4 years,M.Sc
Science,Microbiology,Lab Technician,"Technical Skills, Engineering Fundamentals",2 years,MD
Science,B.Tech,Doctor,"Innovation, Creativity in Solutions",3 years,M.Sc
Science,B.Sc,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",4 years,MS
Science,Nursing,Lab Technician,"Hands-on Medical Skills, Patient Care Expertise",4 years,Biotechnology PG
Science,Biotechnology,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",4 years,MD
Science,B.Sc,Data Scientist,"Technical Skills, Engineering Fundamentals",4 years,M.Tech
Science,B.Sc,Pharmacist,"Research, Scientific Knowledge",5 years,MD
Science,B.Tech,Doctor,"Data Analysis, Laboratory Techniques",5 years,MS
Science,Biotechnology,Engineer,"Technical Skills, Engineering Fundamentals",5 years,MD
Science,Nursing,Pharmacist,"Data Analysis, Laboratory Techniques",4 years,MCA
Science,Microbiology,Researcher,"Research, Scientific Knowledge",4 years,Medical Specialization
Science,MBBS,Engineer,"Research, Scientific Knowledge",4 years,MS
Science,B.Pharm,Researcher,"Innovation, Creativity in Solutions",4 years,Medical Specialization
Science,Nursing,Data Scientist,"Innovation, Creativity in Solutions",4 years,M.Sc
Science,Biotechnology,Engineer,"Research, Scientific Knowledge",2 years,M.Tech
Science,B.Pharm,Engineer,"Research, Scientific Knowledge",5 years,M.Pharm
Science,Biotechnology,Lab Technician,"Innovation, Creativity in Solutions",4 years,M.Tech
Science,B.Sc,Researcher,"Innovation, Creativity in Solutions",2 years,M.Sc
Science,B.Sc,Doctor,"Research, Scientific Knowledge",5 years,MD
Science,Microbiology,Researcher,"Innovation, Creativity in Solutions",2 years,Medical Specialization
Science,B.Tech,Researcher,"Hands-on Medical Skills, Patient Care Expertise",5 years,MS
Science,Engineering,Doctor,"Hands-on Medical Skills, Patient Care Expertise",2 years,M.Pharm
Science,B.Pharm,Engineer,"Innovation, Creativity in Solutions",5 years,Medical Specialization
Science,B.Tech,Engineer,"Research, Scientific Knowledge",5 years,Biotechnology PG
Science,B.Pharm,Data Scientist,"Data Analysis, Laboratory Techniques",2 years,Biotechnology PG
Science,Engineering,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",4 years,M.Pharm
Science,Engineering,Doctor,"Hands-on Medical Skills, Patient Care Expertise",5 years,Medical Specialization
Science,Engineering,Lab Technician,"Problem-Solving, Analytical Thinking",4 years,M.Sc
Science,B.Pharm,Doctor,"Problem-Solving, Analytical Thinking",5 years,Biotechnology PG
Science,B.Sc,Doctor,"Hands-on Medical Skills, Patient Care Expertise",5 years,Biotechnology PG
Science,MBBS,Data Scientist,"Research, Scientific Knowledge",4 years,Medical Specialization
Science,Engineering,Researcher,"Research, Scientific Knowledge",2 years,M.Tech
Science,Nursing,Researcher,"Research, Scientific Knowledge",4 years,M.Pharm
Science,B.Sc,Lab Technician,"Hands-on Medical Skills, Patient Care Expertise",4 years,MCA
Science,Microbiology,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",2 years,MD
Science,Microbiology,Data Scientist,"Problem-Solving, Analytical Thinking",5 years,M.Pharm
Science,Nursing,Data Scientist,"Technical Skills, Engineering Fundamentals",5 years,M.Sc
Science,Engineering,Doctor,"Hands-on Medical Skills, Patient Care Expertise",4 years,M.Pharm
Science,Biotechnology,Doctor,"Innovation, Creativity in Solutions",2 years,M.Sc
Science,B.Tech,Pharmacist,"Technical Skills, Engineering Fundamentals",4 years,Biotechnology PG
Science,Engineering,Lab Technician,"Research, Scientific Knowledge",3 years,M.Sc
Science,Biotechnology,Pharmacist,"Problem-Solving, Analytical Thinking",2 years,M.Sc
Science,Nursing,Data Scientist,"Data Analysis, Laboratory Techniques",3 years,M.Pharm
Science,B.Tech,Researcher,"Hands-on Medical Skills, Patient Care Expertise",5 years,Medical Specialization
Science,Biotechnology,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",3 years,M.Pharm
Science,Nursing,Researcher,"Technical Skills, Engineering Fundamentals",2 years,Biotechnology PG
Science,Microbiology,Researcher,"Hands-on Medical Skills, Patient Care Expertise",3 years,MD
Science,B.Pharm,Pharmacist,"Data Analysis, Laboratory Techniques",4 years,MS
Science,MBBS,Doctor,"Problem-Solving, Analytical Thinking",2 years,M.Tech
Science,B.Tech,Doctor,"Problem-Solving, Analytical Thinking",2 years,MS
Science,Engineering,Doctor,"Research, Scientific Knowledge",2 years,MS
Science,B.Sc,Researcher,"Problem-Solving, Analytical Thinking",5 years,MCA
Science,Engineering,Doctor,"Research, Scientific Knowledge",4 years,MD
Science,Microbiology,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",4 years,MCA
Science,Engineering,Lab Technician,"Data Analysis, Laboratory Techniques",3 years,MS
Science,B.Pharm,Doctor,"Innovation, Creativity in Solutions",2 years,MCA
Science,B.Sc,Researcher,"Innovation, Creativity in Solutions",3 years,MD
Science,B.Sc,Engineer,"Data Analysis, Laboratory Techniques",2 years,M.Pharm
Science,B.Sc,Data Scientist,"Research, Scientific Knowledge",3 years,M.Tech
Science,B.Sc,Pharmacist,"Innovation, Creativity in Solutions",5 years,M.Sc
Science,B.Sc,Lab Technician,"Research, Scientific Knowledge",3 years,Biotechnology PG
Science,B.Pharm,Pharmacist,"Research, Scientific Knowledge",4 years,M.Pharm
Science,B.Pharm,Doctor,"Problem-Solving, Analytical Thinking",3 years,M.Tech
Science,Engineering,Engineer,"Data Analysis, Laboratory Techniques",5 years,M.Pharm
Science,Nursing,Engineer,"Technical Skills, Engineering Fundamentals",3 years,Medical Specialization
Science,Microbiology,Engineer,"Innovation, Creativity in Solutions",5 years,Biotechnology PG
Science,Engineering,Researcher,"Research, Scientific Knowledge",5 years,MCA
Science,Engineering,Researcher,"Technical Skills, Engineering Fundamentals",2 years,Medical Specialization
Science,B.Sc,Doctor,"Data Analysis, Laboratory Techniques",4 years,Biotechnology PG
Science,Engineering,Doctor,"Problem-Solving, Analytical Thinking",4 years,Medical Specialization
Science,MBBS,Researcher,"Research, Scientific Knowledge",5 years,M.Pharm
Science,Nursing,Data Scientist,"Problem-Solving, Analytical Thinking",4 years,M.Sc
Science,Biotechnology,Lab Technician,"Technical Skills, Engineering Fundamentals",3 years,MS
Science,MBBS,Researcher,"Innovation, Creativity in Solutions",3 years,M.Pharm
Science,B.Pharm,Doctor,"Research, Scientific Knowledge",5 years,M.Tech
Science,B.Tech,Doctor,"Research, Scientific Knowledge",3 years,MD
Science,B.Tech,Engineer,"Research, Scientific Knowledge",4 years,M.Pharm
Science,Nursing,Data Scientist,"Data Analysis, Laboratory Techniques",2 years,MS
Science,B.Tech,Engineer,"Problem-Solving, Analytical Thinking",4 years,MD
Science,MBBS,Engineer,"Innovation, Creativity in Solutions",4 years,MCA
Science,Engineering,Doctor,"Hands-on Medical Skills, Patient Care Expertise",2 years,MCA
Science,Nursing,Doctor,"Innovation, Creativity in Solutions",3 years,M.Pharm
Science,B.Sc,Lab Technician,"Innovation, Creativity in Solutions",2 years,MD
Science,B.Sc,Engineer,"Innovation, Creativity in Solutions",4 years,Medical Specialization
Science,Biotechnology,Researcher,"Research, Scientific Knowledge",2 years,M.Pharm
Science,Biotechnology,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",5 years,Medical Specialization
Science,Biotechnology,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",3 years,MD
Science,Biotechnology,Engineer,"Innovation, Creativity in Solutions",5 years,MD
Science,B.Tech,Doctor,"Innovation, Creativity in Solutions",5 years,MD
Science,B.Sc,Data Scientist,"Technical Skills, Engineering Fundamentals",3 years,M.Pharm
Science,Nursing,Researcher,"Hands-on Medical Skills, Patient Care Expertise",3 years,M.Sc
Science,Engineering,Lab Technician,"Technical Skills, Engineering Fundamentals",4 years,MD
Science,Nursing,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",4 years,Biotechnology PG
Science,Microbiology,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",5 years,MS
Science,B.Pharm,Engineer,"Hands-on Medical Skills, Patient Care Expertise",3 years,Medical Specialization
Science,MBBS,Pharmacist,"Research, Scientific Knowledge",5 years,MD
Science,Nursing,Doctor,"Technical Skills, Engineering Fundamentals",2 years,Medical Specialization
Science,Nursing,Researcher,"Research, Scientific Knowledge",5 years,Medical Specialization
Science,Biotechnology,Lab Technician,"Innovation, Creativity in Solutions",4 years,M.Tech
Science,Engineering,Engineer,"Data Analysis, Laboratory Techniques",2 years,Medical Specialization
Science,Biotechnology,Engineer,"Innovation, Creativity in Solutions",2 years,M.Sc
Science,B.Sc,Lab Technician,"Data Analysis, Laboratory Techniques",3 years,Biotechnology PG
Science,Engineering,Engineer,"Technical Skills, Engineering Fundamentals",5 years,Medical Specialization
Science,MBBS,Lab Technician,"Technical Skills, Engineering Fundamentals",2 years,MD
Science,Engineering,Pharmacist,"Research, Scientific Knowledge",4 years,MD
Science,B.Sc,Data Scientist,"Innovation, Creativity in Solutions",4 years,M.Sc
Science,MBBS,Researcher,"Research, Scientific Knowledge",5 years,Biotechnology PG
Science,MBBS,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",2 years,Medical Specialization
Science,Biotechnology,Doctor,"Data Analysis, Laboratory Techniques",2 years,M.Sc
Science,B.Pharm,Engineer,"Hands-on Medical Skills, Patient Care Expertise",5 years,MS
Science,Microbiology,Pharmacist,"Innovation, Creativity in Solutions",4 years,MD
Science,B.Pharm,Researcher,"Data Analysis, Laboratory Techniques",2 years,M.Sc
Science,Biotechnology,Researcher,"Technical Skills, Engineering Fundamentals",4 years,MD
Science,Biotechnology,Lab Technician,"Problem-Solving, Analytical Thinking",4 years,M.Pharm
Science,B.Sc,Doctor,"Data Analysis, Laboratory Techniques",3 years,Medical Specialization
Science,B.Tech,Data Scientist,"Technical Skills, Engineering Fundamentals",4 years,MCA
Science,Microbiology,Data Scientist,"Innovation, Creativity in Solutions",4 years,MCA
Science,B.Sc,Data Scientist,"Research, Scientific Knowledge",2 years,Medical Specialization
Science,Biotechnology,Doctor,"Hands-on Medical Skills, Patient Care Expertise",5 years,MS
Science,Microbiology,Pharmacist,"Innovation, Creativity in Solutions",4 years,M.Sc
Science,Nursing,Engineer,"Innovation, Creativity in Solutions",3 years,MD
Science,B.Pharm,Lab Technician,"Technical Skills, Engineering Fundamentals",5 years,MS
Science,B.Tech,Engineer,"Hands-on Medical Skills, Patient Care Expertise",4 years,MCA
Science,B.Sc,Researcher,"Research, Scientific Knowledge",4 years,MS
Science,Nursing,Researcher,"Problem-Solving, Analytical Thinking",2 years,M.Pharm
Science,Microbiology,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",3 years,Medical Specialization
Science,B.Pharm,Lab Technician,"Technical Skills, Engineering Fundamentals",2 years,M.Pharm
Science,B.Tech,Doctor,"Innovation, Creativity in Solutions",3 years,M.Pharm
Science,Engineering,Data Scientist,"Technical Skills, Engineering Fundamentals",3 years,MD
Science,Engineering,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",3 years,M.Sc
Science,Microbiology,Researcher,"Data Analysis, Laboratory Techniques",3 years,M.Sc
Science,B.Pharm,Engineer,"Research, Scientific Knowledge",3 years,Medical Specialization
Science,B.Sc,Engineer,"Technical Skills, Engineering Fundamentals",2 years,MCA
Science,Engineering,Researcher,"Technical Skills, Engineering Fundamentals",3 years,MD
Science,B.Sc,Engineer,"Research, Scientific Knowledge",4 years,Medical Specialization
Science,Microbiology,Engineer,"Technical Skills, Engineering Fundamentals",2 years,MD
Science,Nursing,Engineer,"Technical Skills, Engineering Fundamentals",4 years,MCA
Science,B.Sc,Pharmacist,"Data Analysis, Laboratory Techniques",4 years,MCA
Science,B.Pharm,Data Scientist,"Research, Scientific Knowledge",4 years,Biotechnology PG
Science,Microbiology,Pharmacist,"Data Analysis, Laboratory Techniques",5 years,M.Tech
Science,Nursing,Researcher,"Hands-on Medical Skills, Patient Care Expertise",3 years,M.Sc
Science,MBBS,Engineer,"Research, Scientific Knowledge",3 years,MD
Science,MBBS,Pharmacist,"Technical Skills, Engineering Fundamentals",3 years,M.Tech
Science,B.Tech,Engineer,"Data Analysis, Laboratory Techniques",5 years,Biotechnology PG
Science,Microbiology,Researcher,"Problem-Solving, Analytical Thinking",5 years,M.Tech
Science,B.Sc,Lab Technician,"Research, Scientific Knowledge",3 years,MCA
Science,B.Pharm,Lab Technician,"Research, Scientific Knowledge",4 years,M.Tech
Science,MBBS,Engineer,"Data Analysis, Laboratory Techniques",3 years,Biotechnology PG
Science,Engineering,Doctor,"Problem-Solving, Analytical Thinking",5 years,MS
Science,B.Sc,Doctor,"Hands-on Medical Skills, Patient Care Expertise",3 years,M.Sc
Science,Engineering,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",3 years,M.Tech
Science,B.Sc,Doctor,"Technical Skills, Engineering Fundamentals",2 years,Medical Specialization
