Stream,Course,Job,Skills Required,Duration,Post Graduation
Science,B.Tech,Doctor,"Innovation, Creativity in Solutions",3 years,MD
Science,MBBS,Pharmacist,"Data Analysis, Laboratory Techniques",5 years,Medical Specialization
Science,B.Pharm,Lab Technician,"Technical Skills, Engineering Fundamentals",5 years,MS
Science,Nursing,Pharmacist,"Data Analysis, Laboratory Techniques",5 years,MD
Science,Microbiology,Doctor,"Hands-on Medical Skills, Patient Care Expertise",5 years,Biotechnology PG
Science,MBBS,Researcher,"Problem-Solving, Analytical Thinking",4 years,MD
Science,B.Tech,Data Scientist,"Data Analysis, Laboratory Techniques",3 years,M.Sc
Science,B.Tech,Researcher,"Problem-Solving, Analytical Thinking",2 years,Medical Specialization
Science,Microbiology,Engineer,"Data Analysis, Laboratory Techniques",5 years,M.Sc
Science,B.Tech,Researcher,"Hands-on Medical Skills, Patient Care Expertise",4 years,M.Pharm
Science,MBBS,Doctor,"Data Analysis, Laboratory Techniques",4 years,MD
Science,B.Tech,Data Scientist,"Innovation, Creativity in Solutions",4 years,M.Pharm
Science,Microbiology,Researcher,"Research, Scientific Knowledge",2 years,MS
Science,B.Tech,Researcher,"Data Analysis, Laboratory Techniques",2 years,Biotechnology PG
Science,Biotechnology,Researcher,"Research, Scientific Knowledge",3 years,MD
Science,Microbiology,Researcher,"Research, Scientific Knowledge",3 years,MD
Science,MBBS,Lab Technician,"Hands-on Medical Skills, Patient Care Expertise",3 years,Medical Specialization
Science,Nursing,Doctor,"Innovation, Creativity in Solutions",4 years,Biotechnology PG
Science,B.Sc,Researcher,"Problem-Solving, Analytical Thinking",5 years,Biotechnology PG
Science,B.Sc,Data Scientist,"Technical Skills, Engineering Fundamentals",5 years,MS
Science,B.Pharm,Pharmacist,"Problem-Solving, Analytical Thinking",4 years,M.Tech
Science,Engineering,Pharmacist,"Problem-Solving, Analytical Thinking",4 years,M.Tech
Science,B.Tech,Pharmacist,"Research, Scientific Knowledge",4 years,M.Sc
Science,B.Sc,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",4 years,M.Sc
Science,MBBS,Engineer,"Problem-Solving, Analytical Thinking",3 years,M.Sc
Science,Biotechnology,Lab Technician,"Technical Skills, Engineering Fundamentals",3 years,Medical Specialization
Science,MBBS,Pharmacist,"Research, Scientific Knowledge",4 years,Medical Specialization
Science,Engineering,Researcher,"Technical Skills, Engineering Fundamentals",2 years,Biotechnology PG
Science,Biotechnology,Lab Technician,"Technical Skills, Engineering Fundamentals",4 years,Medical Specialization
Science,MBBS,Doctor,"Technical Skills, Engineering Fundamentals",3 years,MD
Science,B.Tech,Pharmacist,"Data Analysis, Laboratory Techniques",4 years,M.Sc
Science,Microbiology,Engineer,"Technical Skills, Engineering Fundamentals",2 years,MS
Science,B.Pharm,Engineer,"Problem-Solving, Analytical Thinking",5 years,Medical Specialization
Science,MBBS,Doctor,"Innovation, Creativity in Solutions",3 years,MS
Science,Microbiology,Pharmacist,"Data Analysis, Laboratory Techniques",4 years,Medical Specialization
Science,Nursing,Data Scientist,"Data Analysis, Laboratory Techniques",4 years,MCA
Science,Engineering,Data Scientist,"Research, Scientific Knowledge",2 years,M.Tech
Science,Nursing,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",4 years,MCA
Science,Biotechnology,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",4 years,Biotechnology PG
Science,Nursing,Lab Technician,"Innovation, Creativity in Solutions",5 years,M.Tech
Science,B.Sc,Engineer,"Technical Skills, Engineering Fundamentals",2 years,MCA
Science,B.Pharm,Data Scientist,"Innovation, Creativity in Solutions",4 years,M.Pharm
Science,B.Sc,Researcher,"Technical Skills, Engineering Fundamentals",5 years,M.Pharm
Science,B.Sc,Data Scientist,"Research, Scientific Knowledge",2 years,Biotechnology PG
Science,Engineering,Doctor,"Hands-on Medical Skills, Patient Care Expertise",5 years,Biotechnology PG
Science,MBBS,Engineer,"Research, Scientific Knowledge",4 years,Biotechnology PG
Science,Engineering,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",3 years,Medical Specialization
Science,Microbiology,Lab Technician,"Technical Skills, Engineering Fundamentals",4 years,Biotechnology PG
Science,B.Sc,Pharmacist,"Data Analysis, Laboratory Techniques",2 years,MS
Science,B.Sc,Researcher,"Problem-Solving, Analytical Thinking",2 years,Biotechnology PG
Science,Nursing,Pharmacist,"Technical Skills, Engineering Fundamentals",3 years,M.Sc
Science,Microbiology,Lab Technician,"Research, Scientific Knowledge",5 years,Medical Specialization
Science,B.Sc,Lab Technician,"Research, Scientific Knowledge",2 years,Biotechnology PG
Science,B.Tech,Pharmacist,"Data Analysis, Laboratory Techniques",2 years,MD
Science,MBBS,Lab Technician,"Problem-Solving, Analytical Thinking",3 years,MS
Science,MBBS,Researcher,"Data Analysis, Laboratory Techniques",2 years,Medical Specialization
Science,B.Tech,Data Scientist,"Problem-Solving, Analytical Thinking",4 years,Biotechnology PG
Science,Nursing,Doctor,"Research, Scientific Knowledge",4 years,MS
Science,Engineering,Researcher,"Hands-on Medical Skills, Patient Care Expertise",3 years,M.Sc
Science,Microbiology,Lab Technician,"Data Analysis, Laboratory Techniques",5 years,MS
Science,B.Sc,Doctor,"Data Analysis, Laboratory Techniques",2 years,M.Tech
Science,Engineering,Engineer,"Hands-on Medical Skills, Patient Care Expertise",3 years,M.Sc
Science,Microbiology,Researcher,"Hands-on Medical Skills, Patient Care Expertise",4 years,Medical Specialization
Science,MBBS,Data Scientist,"Research, Scientific Knowledge",2 years,Biotechnology PG
Science,Microbiology,Researcher,"Research, Scientific Knowledge",3 years,M.Tech
Science,B.Sc,Lab Technician,"Problem-Solving, Analytical Thinking",4 years,Medical Specialization
Science,Microbiology,Doctor,"Technical Skills, Engineering Fundamentals",4 years,Biotechnology PG
Science,B.Sc,Data Scientist,"Problem-Solving, Analytical Thinking",5 years,Biotechnology PG
Science,B.Tech,Doctor,"Data Analysis, Laboratory Techniques",3 years,MD
Science,B.Pharm,Doctor,"Technical Skills, Engineering Fundamentals",4 years,MCA
Science,Biotechnology,Engineer,"Problem-Solving, Analytical Thinking",5 years,M.Pharm
Science,Nursing,Researcher,"Technical Skills, Engineering Fundamentals",4 years,MS
Science,B.Pharm,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",5 years,MS
Science,Engineering,Data Scientist,"Data Analysis, Laboratory Techniques",5 years,M.Tech
Science,B.Pharm,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",3 years,Biotechnology PG
Science,Microbiology,Doctor,"Hands-on Medical Skills, Patient Care Expertise",3 years,Biotechnology PG
Science,Engineering,Pharmacist,"Technical Skills, Engineering Fundamentals",2 years,Biotechnology PG
Science,B.Tech,Engineer,"Problem-Solving, Analytical Thinking",2 years,Biotechnology PG
Science,B.Tech,Lab Technician,"Innovation, Creativity in Solutions",5 years,M.Sc
Science,B.Pharm,Engineer,"Problem-Solving, Analytical Thinking",5 years,M.Sc
Science,Engineering,Pharmacist,"Research, Scientific Knowledge",5 years,MS
Science,Engineering,Data Scientist,"Problem-Solving, Analytical Thinking",2 years,M.Tech
Science,Biotechnology,Engineer,"Innovation, Creativity in Solutions",5 years,MS
Science,B.Sc,Doctor,"Hands-on Medical Skills, Patient Care Expertise",2 years,Medical Specialization
Science,B.Tech,Researcher,"Data Analysis, Laboratory Techniques",4 years,MD
Science,B.Pharm,Data Scientist,"Problem-Solving, Analytical Thinking",2 years,Biotechnology PG
Science,MBBS,Doctor,"Research, Scientific Knowledge",2 years,M.Tech
Science,B.Pharm,Engineer,"Data Analysis, Laboratory Techniques",5 years,MS
Science,Nursing,Doctor,"Data Analysis, Laboratory Techniques",3 years,MCA
Science,Biotechnology,Pharmacist,"Data Analysis, Laboratory Techniques",4 years,MD
Science,B.Pharm,Doctor,"Innovation, Creativity in Solutions",2 years,MCA
Science,MBBS,Researcher,"Hands-on Medical Skills, Patient Care Expertise",5 years,Biotechnology PG
Science,Biotechnology,Researcher,"Technical Skills, Engineering Fundamentals",4 years,Biotechnology PG
Science,Nursing,Engineer,"Hands-on Medical Skills, Patient Care Expertise",5 years,M.Pharm
Science,B.Sc,Doctor,"Problem-Solving, Analytical Thinking",5 years,M.Pharm
Science,Nursing,Engineer,"Problem-Solving, Analytical Thinking",4 years,M.Tech
Science,B.Tech,Researcher,"Hands-on Medical Skills, Patient Care Expertise",5 years,M.Tech
Science,B.Sc,Engineer,"Innovation, Creativity in Solutions",5 years,M.Sc
Science,Microbiology,Lab Technician,"Problem-Solving, Analytical Thinking",2 years,Biotechnology PG
Science,Nursing,Lab Technician,"Technical Skills, Engineering Fundamentals",4 years,Biotechnology PG
Science,MBBS,Engineer,"Data Analysis, Laboratory Techniques",3 years,MS
Science,Biotechnology,Doctor,"Innovation, Creativity in Solutions",4 years,M.Sc
Science,B.Tech,Engineer,"Research, Scientific Knowledge",3 years,Medical Specialization
Science,Microbiology,Pharmacist,"Technical Skills, Engineering Fundamentals",5 years,Medical Specialization
Science,Biotechnology,Doctor,"Hands-on Medical Skills, Patient Care Expertise",4 years,MS
Science,B.Tech,Doctor,"Research, Scientific Knowledge",2 years,MD
Science,Engineering,Doctor,"Innovation, Creativity in Solutions",5 years,MCA
Science,Engineering,Lab Technician,"Problem-Solving, Analytical Thinking",5 years,MCA
Science,B.Tech,Engineer,"Innovation, Creativity in Solutions",2 years,Medical Specialization
Science,Biotechnology,Data Scientist,"Problem-Solving, Analytical Thinking",2 years,M.Tech
Science,Engineering,Engineer,"Hands-on Medical Skills, Patient Care Expertise",5 years,M.Pharm
Science,Biotechnology,Pharmacist,"Research, Scientific Knowledge",5 years,M.Sc
Science,Engineering,Researcher,"Research, Scientific Knowledge",2 years,Biotechnology PG
Science,Nursing,Data Scientist,"Problem-Solving, Analytical Thinking",4 years,Biotechnology PG
Science,Biotechnology,Lab Technician,"Research, Scientific Knowledge",3 years,Biotechnology PG
Science,B.Tech,Pharmacist,"Innovation, Creativity in Solutions",5 years,MS
Science,Engineering,Doctor,"Research, Scientific Knowledge",4 years,M.Tech
Science,Microbiology,Doctor,"Hands-on Medical Skills, Patient Care Expertise",5 years,MS
Science,Microbiology,Pharmacist,"Technical Skills, Engineering Fundamentals",4 years,Medical Specialization
Science,B.Pharm,Lab Technician,"Technical Skills, Engineering Fundamentals",2 years,M.Sc
Science,MBBS,Lab Technician,"Technical Skills, Engineering Fundamentals",2 years,M.Tech
Science,B.Pharm,Doctor,"Research, Scientific Knowledge",4 years,Medical Specialization
Science,B.Tech,Researcher,"Innovation, Creativity in Solutions",3 years,Biotechnology PG
Science,Engineering,Engineer,"Hands-on Medical Skills, Patient Care Expertise",4 years,M.Sc
Science,Engineering,Data Scientist,"Data Analysis, Laboratory Techniques",5 years,M.Sc
Science,Nursing,Researcher,"Research, Scientific Knowledge",2 years,MD
Science,B.Tech,Data Scientist,"Innovation, Creativity in Solutions",2 years,MCA
Science,Engineering,Pharmacist,"Problem-Solving, Analytical Thinking",3 years,M.Pharm
Science,B.Tech,Doctor,"Technical Skills, Engineering Fundamentals",4 years,MS
Science,Engineering,Engineer,"Problem-Solving, Analytical Thinking",5 years,MD
Science,Nursing,Pharmacist,"Problem-Solving, Analytical Thinking",3 years,MCA
Science,Nursing,Data Scientist,"Data Analysis, Laboratory Techniques",4 years,MS
Science,B.Tech,Engineer,"Innovation, Creativity in Solutions",3 years,Medical Specialization
Science,Nursing,Doctor,"Research, Scientific Knowledge",2 years,MCA
Science,Microbiology,Doctor,"Technical Skills, Engineering Fundamentals",5 years,M.Sc
Science,B.Sc,Researcher,"Technical Skills, Engineering Fundamentals",5 years,Medical Specialization
Science,Nursing,Lab Technician,"Hands-on Medical Skills, Patient Care Expertise",3 years,M.Sc
Science,Nursing,Researcher,"Research, Scientific Knowledge",2 years,M.Pharm
Science,Microbiology,Doctor,"Technical Skills, Engineering Fundamentals",3 years,M.Tech
Science,B.Pharm,Pharmacist,"Problem-Solving, Analytical Thinking",3 years,MD
Science,Biotechnology,Engineer,"Innovation, Creativity in Solutions",4 years,M.Tech
Science,MBBS,Engineer,"Research, Scientific Knowledge",3 years,MD
Science,Microbiology,Pharmacist,"Problem-Solving, Analytical Thinking",3 years,MCA
Science,Biotechnology,Doctor,"Technical Skills, Engineering Fundamentals",3 years,MD
Science,Nursing,Engineer,"Problem-Solving, Analytical Thinking",3 years,MD
Science,Microbiology,Doctor,"Hands-on Medical Skills, Patient Care Expertise",4 years,Biotechnology PG
Science,Engineering,Lab Technician,"Problem-Solving, Analytical Thinking",5 years,MS
Science,Biotechnology,Lab Technician,"Problem-Solving, Analytical Thinking",2 years,Biotechnology PG
Science,Microbiology,Data Scientist,"Innovation, Creativity in Solutions",5 years,M.Sc
Science,B.Sc,Engineer,"Technical Skills, Engineering Fundamentals",5 years,Medical Specialization
Science,Biotechnology,Lab Technician,"Technical Skills, Engineering Fundamentals",5 years,Medical Specialization
Science,Nursing,Lab Technician,"Data Analysis, Laboratory Techniques",5 years,MCA
Science,Microbiology,Engineer,"Problem-Solving, Analytical Thinking",3 years,Biotechnology PG
Science,Microbiology,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",5 years,M.Tech
Science,MBBS,Engineer,"Data Analysis, Laboratory Techniques",5 years,MS
Science,Biotechnology,Doctor,"Innovation, Creativity in Solutions",4 years,MS
Science,MBBS,Pharmacist,"Data Analysis, Laboratory Techniques",2 years,MD
Science,Biotechnology,Pharmacist,"Data Analysis, Laboratory Techniques",4 years,M.Sc
Science,B.Tech,Data Scientist,"Problem-Solving, Analytical Thinking",5 years,MCA
Science,Nursing,Lab Technician,"Problem-Solving, Analytical Thinking",5 years,MS
Science,B.Tech,Lab Technician,"Hands-on Medical Skills, Patient Care Expertise",5 years,M.Sc
Science,Biotechnology,Doctor,"Research, Scientific Knowledge",2 years,M.Tech
Science,MBBS,Doctor,"Hands-on Medical Skills, Patient Care Expertise",3 years,Biotechnology PG
Science,B.Sc,Doctor,"Research, Scientific Knowledge",4 years,M.Sc
Science,Biotechnology,Pharmacist,"Innovation, Creativity in Solutions",5 years,Medical Specialization
Science,MBBS,Engineer,"Hands-on Medical Skills, Patient Care Expertise",5 years,M.Tech
Science,B.Pharm,Lab Technician,"Data Analysis, Laboratory Techniques",4 years,MCA
Science,Engineering,Data Scientist,"Innovation, Creativity in Solutions",3 years,M.Sc
Science,B.Tech,Pharmacist,"Data Analysis, Laboratory Techniques",4 years,M.Pharm
Science,B.Tech,Lab Technician,"Innovation, Creativity in Solutions",3 years,Biotechnology PG
Science,MBBS,Engineer,"Innovation, Creativity in Solutions",5 years,M.Pharm
Science,Microbiology,Lab Technician,"Research, Scientific Knowledge",3 years,MD
Science,Engineering,Pharmacist,"Data Analysis, Laboratory Techniques",3 years,MS
Science,B.Sc,Engineer,"Research, Scientific Knowledge",2 years,MCA
Science,Biotechnology,Data Scientist,"Data Analysis, Laboratory Techniques",3 years,Medical Specialization
Science,B.Sc,Lab Technician,"Innovation, Creativity in Solutions",3 years,Medical Specialization
Science,Engineering,Engineer,"Hands-on Medical Skills, Patient Care Expertise",3 years,Medical Specialization
Science,Microbiology,Pharmacist,"Technical Skills, Engineering Fundamentals",5 years,M.Sc
Science,MBBS,Data Scientist,"Innovation, Creativity in Solutions",3 years,MCA
Science,Nursing,Engineer,"Problem-Solving, Analytical Thinking",3 years,M.Tech
Science,Microbiology,Engineer,"Technical Skills, Engineering Fundamentals",3 years,MD
Science,Nursing,Researcher,"Problem-Solving, Analytical Thinking",4 years,Medical Specialization
Science,B.Pharm,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",4 years,MS
Science,Biotechnology,Engineer,"Innovation, Creativity in Solutions",5 years,MS
Science,Nursing,Researcher,"Technical Skills, Engineering Fundamentals",3 years,MCA
Science,MBBS,Researcher,"Technical Skills, Engineering Fundamentals",4 years,MCA
Science,B.Tech,Engineer,"Data Analysis, Laboratory Techniques",3 years,M.Pharm
Science,Microbiology,Engineer,"Innovation, Creativity in Solutions",2 years,MCA
Science,MBBS,Pharmacist,"Innovation, Creativity in Solutions",3 years,Medical Specialization
Science,B.Pharm,Data Scientist,"Research, Scientific Knowledge",2 years,Biotechnology PG
Science,B.Pharm,Data Scientist,"Innovation, Creativity in Solutions",4 years,Medical Specialization
Science,B.Sc,Lab Technician,"Technical Skills, Engineering Fundamentals",4 years,M.Sc
Science,Nursing,Data Scientist,"Problem-Solving, Analytical Thinking",5 years,MD
Science,MBBS,Pharmacist,"Innovation, Creativity in Solutions",2 years,M.Pharm
Science,MBBS,Pharmacist,"Data Analysis, Laboratory Techniques",3 years,M.Sc
Science,Biotechnology,Researcher,"Research, Scientific Knowledge",4 years,M.Sc
Science,Microbiology,Pharmacist,"Research, Scientific Knowledge",5 years,M.Pharm
Science,Microbiology,Doctor,"Problem-Solving, Analytical Thinking",4 years,Biotechnology PG
Science,Microbiology,Doctor,"Technical Skills, Engineering Fundamentals",4 years,M.Sc
Science,B.Sc,Engineer,"Research, Scientific Knowledge",5 years,M.Tech
Science,MBBS,Doctor,"Problem-Solving, Analytical Thinking",5 years,MD
Science,Engineering,Lab Technician,"Innovation, Creativity in Solutions",3 years,Medical Specialization
Science,Engineering,Doctor,"Research, Scientific Knowledge",3 years,M.Sc
Science,Microbiology,Doctor,"Data Analysis, Laboratory Techniques",3 years,Biotechnology PG
Science,Microbiology,Doctor,"Technical Skills, Engineering Fundamentals",3 years,Biotechnology PG
Science,Engineering,Lab Technician,"Research, Scientific Knowledge",2 years,Medical Specialization
Science,B.Tech,Engineer,"Hands-on Medical Skills, Patient Care Expertise",2 years,M.Tech
Science,B.Tech,Doctor,"Technical Skills, Engineering Fundamentals",3 years,Biotechnology PG
Science,B.Tech,Researcher,"Hands-on Medical Skills, Patient Care Expertise",5 years,MCA
Science,B.Sc,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",3 years,Biotechnology PG
Science,Biotechnology,Lab Technician,"Innovation, Creativity in Solutions",2 years,M.Pharm
Science,B.Sc,Data Scientist,"Innovation, Creativity in Solutions",2 years,MCA
Science,Nursing,Lab Technician,"Research, Scientific Knowledge",4 years,Biotechnology PG
Science,Engineering,Pharmacist,"Technical Skills, Engineering Fundamentals",3 years,M.Tech
Science,B.Tech,Pharmacist,"Technical Skills, Engineering Fundamentals",3 years,M.Tech
Science,Nursing,Lab Technician,"Innovation, Creativity in Solutions",2 years,MS
Science,Biotechnology,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",4 years,Biotechnology PG
Science,B.Tech,Lab Technician,"Research, Scientific Knowledge",3 years,M.Tech
Science,B.Sc,Doctor,"Innovation, Creativity in Solutions",2 years,M.Tech
Science,Engineering,Data Scientist,"Technical Skills, Engineering Fundamentals",3 years,M.Sc
Science,Microbiology,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",5 years,MCA
Science,B.Sc,Doctor,"Research, Scientific Knowledge",3 years,MD
Science,Microbiology,Lab Technician,"Problem-Solving, Analytical Thinking",4 years,MD
Science,Biotechnology,Researcher,"Research, Scientific Knowledge",4 years,M.Tech
Science,Biotechnology,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",2 years,M.Tech
Science,B.Pharm,Lab Technician,"Innovation, Creativity in Solutions",4 years,M.Pharm
Science,Biotechnology,Doctor,"Hands-on Medical Skills, Patient Care Expertise",5 years,MD
Science,Nursing,Researcher,"Hands-on Medical Skills, Patient Care Expertise",2 years,MD
Science,Biotechnology,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",2 years,M.Tech
Science,Nursing,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",4 years,M.Sc
Science,B.Pharm,Researcher,"Research, Scientific Knowledge",4 years,M.Pharm
Science,Biotechnology,Pharmacist,"Innovation, Creativity in Solutions",2 years,Biotechnology PG
Science,Engineering,Engineer,"Research, Scientific Knowledge",2 years,Medical Specialization
Science,B.Pharm,Lab Technician,"Problem-Solving, Analytical Thinking",5 years,Biotechnology PG
Science,Microbiology,Researcher,"Data Analysis, Laboratory Techniques",4 years,M.Pharm
Science,B.Tech,Doctor,"Data Analysis, Laboratory Techniques",3 years,M.Tech
Science,Biotechnology,Lab Technician,"Technical Skills, Engineering Fundamentals",3 years,M.Sc
Science,MBBS,Pharmacist,"Research, Scientific Knowledge",3 years,Medical Specialization
Science,MBBS,Researcher,"Data Analysis, Laboratory Techniques",4 years,MD
Science,MBBS,Pharmacist,"Problem-Solving, Analytical Thinking",5 years,M.Tech
Science,Engineering,Pharmacist,"Technical Skills, Engineering Fundamentals",2 years,MD
Science,Engineering,Researcher,"Problem-Solving, Analytical Thinking",5 years,M.Tech
Science,B.Pharm,Pharmacist,"Innovation, Creativity in Solutions",5 years,M.Tech
Science,B.Pharm,Doctor,"Technical Skills, Engineering Fundamentals",3 years,M.Tech
Science,Microbiology,Engineer,"Research, Scientific Knowledge",5 years,M.Tech
Science,Nursing,Researcher,"Research, Scientific Knowledge",5 years,MS
Science,Nursing,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",4 years,Medical Specialization
Science,MBBS,Researcher,"Data Analysis, Laboratory Techniques",2 years,M.Sc
Science,MBBS,Pharmacist,"Research, Scientific Knowledge",5 years,M.Tech
