Stream,Course,Job,Skills Required,Duration,Post Graduation
Science,B.Tech,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",3 years,Medical Specialization
Science,Engineering,Researcher,"Data Analysis, Laboratory Techniques",5 years,M.Sc
Science,Microbiology,Researcher,"Data Analysis, Laboratory Techniques",4 years,M.Pharm
Science,Engineering,Pharmacist,"Data Analysis, Laboratory Techniques",2 years,MS
Science,B.Pharm,Doctor,"Research, Scientific Knowledge",3 years,Medical Specialization
Science,Nursing,Pharmacist,"Technical Skills, Engineering Fundamentals",4 years,MD
Science,MBBS,Researcher,"Innovation, Creativity in Solutions",3 years,M.Tech
Science,B.Pharm,Engineer,"Problem-Solving, Analytical Thinking",4 years,M.Tech
Science,B.Pharm,Pharmacist,"Data Analysis, Laboratory Techniques",4 years,Medical Specialization
Science,B.Sc,Researcher,"Problem-Solving, Analytical Thinking",3 years,MD
Science,B.Pharm,Pharmacist,"Innovation, Creativity in Solutions",5 years,MD
Science,B.Tech,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",3 years,M.Pharm
Science,Biotechnology,Pharmacist,"Problem-Solving, Analytical Thinking",4 years,MS
Science,Nursing,Engineer,"Hands-on Medical Skills, Patient Care Expertise",5 years,M.Pharm
Science,Nursing,Doctor,"Problem-Solving, Analytical Thinking",5 years,MS
Science,Biotechnology,Engineer,"Data Analysis, Laboratory Techniques",4 years,Biotechnology PG
Science,Engineering,Pharmacist,"Technical Skills, Engineering Fundamentals",3 years,M.Tech
Science,Microbiology,Doctor,"Hands-on Medical Skills, Patient Care Expertise",3 years,Biotechnology PG
Science,Nursing,Lab Technician,"Research, Scientific Knowledge",3 years,M.Tech
Science,B.Tech,Engineer,"Data Analysis, Laboratory Techniques",5 years,MS
Science,B.Tech,Engineer,"Research, Scientific Knowledge",4 years,M.Pharm
Science,Biotechnology,Researcher,"Technical Skills, Engineering Fundamentals",4 years,M.Tech
Science,Engineering,Pharmacist,"Problem-Solving, Analytical Thinking",5 years,MCA
Science,Nursing,Lab Technician,"Hands-on Medical Skills, Patient Care Expertise",5 years,MS
Science,B.Tech,Researcher,"Research, Scientific Knowledge",5 years,MS
Science,Engineering,Data Scientist,"Research, Scientific Knowledge",2 years,MS
Science,Nursing,Engineer,"Data Analysis, Laboratory Techniques",4 years,M.Tech
Science,B.Tech,Lab Technician,"Problem-Solving, Analytical Thinking",2 years,MCA
Science,Engineering,Data Scientist,"Problem-Solving, Analytical Thinking",4 years,M.Sc
Science,MBBS,Doctor,"Research, Scientific Knowledge",3 years,M.Tech
Science,B.Sc,Researcher,"Innovation, Creativity in Solutions",5 years,MD
Science,Engineering,Lab Technician,"Innovation, Creativity in Solutions",5 years,MS
Science,MBBS,Lab Technician,"Data Analysis, Laboratory Techniques",3 years,MS
Science,Nursing,Pharmacist,"Innovation, Creativity in Solutions",3 years,Medical Specialization
Science,Nursing,Researcher,"Problem-Solving, Analytical Thinking",5 years,M.Sc
Science,MBBS,Pharmacist,"Innovation, Creativity in Solutions",4 years,MS
Science,Nursing,Doctor,"Research, Scientific Knowledge",4 years,MD
Science,B.Sc,Engineer,"Hands-on Medical Skills, Patient Care Expertise",4 years,M.Pharm
Science,Engineering,Lab Technician,"Innovation, Creativity in Solutions",3 years,M.Sc
Science,MBBS,Pharmacist,"Technical Skills, Engineering Fundamentals",4 years,MD
Science,B.Pharm,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",3 years,MS
Science,B.Tech,Lab Technician,"Data Analysis, Laboratory Techniques",3 years,MCA
Science,MBBS,Lab Technician,"Data Analysis, Laboratory Techniques",2 years,M.Pharm
Science,MBBS,Engineer,"Innovation, Creativity in Solutions",4 years,M.Sc
Science,Biotechnology,Doctor,"Technical Skills, Engineering Fundamentals",3 years,M.Sc
Science,MBBS,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",3 years,Medical Specialization
Science,MBBS,Doctor,"Problem-Solving, Analytical Thinking",5 years,MCA
Science,Microbiology,Engineer,"Problem-Solving, Analytical Thinking",3 years,Medical Specialization
Science,Engineering,Researcher,"Problem-Solving, Analytical Thinking",3 years,M.Tech
Science,Microbiology,Researcher,"Problem-Solving, Analytical Thinking",4 years,Biotechnology PG
Science,Engineering,Doctor,"Research, Scientific Knowledge",4 years,MCA
Science,Microbiology,Doctor,"Problem-Solving, Analytical Thinking",2 years,Medical Specialization
Science,Microbiology,Researcher,"Innovation, Creativity in Solutions",2 years,MS
Science,MBBS,Engineer,"Data Analysis, Laboratory Techniques",3 years,M.Pharm
Science,B.Tech,Engineer,"Innovation, Creativity in Solutions",4 years,M.Tech
Science,MBBS,Pharmacist,"Research, Scientific Knowledge",5 years,MCA
Science,B.Pharm,Researcher,"Innovation, Creativity in Solutions",4 years,M.Pharm
Science,Biotechnology,Engineer,"Innovation, Creativity in Solutions",4 years,M.Pharm
Science,MBBS,Researcher,"Technical Skills, Engineering Fundamentals",4 years,MD
Science,Biotechnology,Pharmacist,"Innovation, Creativity in Solutions",4 years,M.Sc
Science,B.Pharm,Doctor,"Problem-Solving, Analytical Thinking",3 years,Medical Specialization
Science,Engineering,Pharmacist,"Research, Scientific Knowledge",3 years,M.Sc
Science,Microbiology,Lab Technician,"Data Analysis, Laboratory Techniques",5 years,Biotechnology PG
Science,B.Tech,Researcher,"Hands-on Medical Skills, Patient Care Expertise",5 years,MD
Science,B.Pharm,Engineer,"Problem-Solving, Analytical Thinking",5 years,M.Tech
Science,B.Pharm,Lab Technician,"Innovation, Creativity in Solutions",4 years,MS
Science,MBBS,Engineer,"Innovation, Creativity in Solutions",3 years,MD
Science,Biotechnology,Lab Technician,"Hands-on Medical Skills, Patient Care Expertise",2 years,Medical Specialization
Science,B.Pharm,Lab Technician,"Problem-Solving, Analytical Thinking",2 years,MCA
Science,Microbiology,Lab Technician,"Innovation, Creativity in Solutions",3 years,M.Tech
Science,B.Sc,Data Scientist,"Innovation, Creativity in Solutions",2 years,M.Pharm
Science,B.Sc,Lab Technician,"Hands-on Medical Skills, Patient Care Expertise",2 years,Medical Specialization
Science,B.Tech,Engineer,"Research, Scientific Knowledge",4 years,Biotechnology PG
Science,MBBS,Data Scientist,"Research, Scientific Knowledge",4 years,Biotechnology PG
Science,Engineering,Engineer,"Hands-on Medical Skills, Patient Care Expertise",3 years,MD
Science,Engineering,Data Scientist,"Technical Skills, Engineering Fundamentals",5 years,Medical Specialization
Science,Microbiology,Engineer,"Data Analysis, Laboratory Techniques",2 years,Biotechnology PG
Science,Biotechnology,Data Scientist,"Problem-Solving, Analytical Thinking",4 years,MCA
Science,Biotechnology,Doctor,"Innovation, Creativity in Solutions",4 years,M.Tech
Science,B.Pharm,Lab Technician,"Data Analysis, Laboratory Techniques",2 years,MD
Science,B.Sc,Engineer,"Problem-Solving, Analytical Thinking",3 years,MD
Science,B.Tech,Doctor,"Technical Skills, Engineering Fundamentals",5 years,M.Sc
Science,B.Tech,Engineer,"Problem-Solving, Analytical Thinking",3 years,MCA
Science,Nursing,Engineer,"Innovation, Creativity in Solutions",4 years,M.Tech
Science,Engineering,Doctor,"Data Analysis, Laboratory Techniques",2 years,Medical Specialization
Science,Microbiology,Pharmacist,"Problem-Solving, Analytical Thinking",4 years,MCA
Science,B.Sc,Engineer,"Data Analysis, Laboratory Techniques",5 years,Medical Specialization
Science,Microbiology,Lab Technician,"Hands-on Medical Skills, Patient Care Expertise",3 years,MCA
Science,B.Pharm,Doctor,"Data Analysis, Laboratory Techniques",5 years,M.Sc
Science,Engineering,Data Scientist,"Research, Scientific Knowledge",2 years,MCA
Science,B.Tech,Data Scientist,"Innovation, Creativity in Solutions",3 years,M.Sc
Science,Biotechnology,Doctor,"Hands-on Medical Skills, Patient Care Expertise",3 years,M.Sc
Science,Microbiology,Engineer,"Innovation, Creativity in Solutions",5 years,Medical Specialization
Science,Engineering,Lab Technician,"Research, Scientific Knowledge",3 years,Medical Specialization
Science,Microbiology,Lab Technician,"Technical Skills, Engineering Fundamentals",2 years,Biotechnology PG
Science,Biotechnology,Doctor,"Problem-Solving, Analytical Thinking",3 years,M.Pharm
Science,B.Sc,Data Scientist,"Research, Scientific Knowledge",5 years,M.Tech
Science,B.Sc,Engineer,"Innovation, Creativity in Solutions",3 years,M.Tech
Science,Microbiology,Pharmacist,"Data Analysis, Laboratory Techniques",2 years,Medical Specialization
Science,Nursing,Lab Technician,"Innovation, Creativity in Solutions",4 years,MD
Science,B.Pharm,Engineer,"Data Analysis, Laboratory Techniques",5 years,MCA
Science,Microbiology,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",4 years,M.Sc
Science,Biotechnology,Pharmacist,"Innovation, Creativity in Solutions",5 years,M.Pharm
Science,B.Tech,Researcher,"Technical Skills, Engineering Fundamentals",5 years,Medical Specialization
Science,Nursing,Pharmacist,"Innovation, Creativity in Solutions",3 years,M.Sc
Science,B.Pharm,Engineer,"Technical Skills, Engineering Fundamentals",3 years,M.Sc
Science,B.Tech,Doctor,"Data Analysis, Laboratory Techniques",3 years,MCA
Science,Engineering,Researcher,"Problem-Solving, Analytical Thinking",2 years,MD
Science,B.Tech,Doctor,"Hands-on Medical Skills, Patient Care Expertise",2 years,MS
Science,B.Tech,Researcher,"Technical Skills, Engineering Fundamentals",5 years,M.Sc
Science,B.Tech,Lab Technician,"Data Analysis, Laboratory Techniques",3 years,M.Tech
Science,B.Tech,Engineer,"Problem-Solving, Analytical Thinking",4 years,MCA
Science,MBBS,Pharmacist,"Problem-Solving, Analytical Thinking",5 years,M.Sc
Science,B.Tech,Data Scientist,"Technical Skills, Engineering Fundamentals",5 years,M.Pharm
Science,Microbiology,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",3 years,M.Sc
Science,Nursing,Engineer,"Problem-Solving, Analytical Thinking",5 years,Medical Specialization
Science,Nursing,Doctor,"Technical Skills, Engineering Fundamentals",3 years,Biotechnology PG
Science,Nursing,Researcher,"Problem-Solving, Analytical Thinking",4 years,M.Sc
Science,MBBS,Data Scientist,"Research, Scientific Knowledge",4 years,MS
Science,Biotechnology,Doctor,"Problem-Solving, Analytical Thinking",2 years,MS
Science,Engineering,Doctor,"Problem-Solving, Analytical Thinking",5 years,Biotechnology PG
Science,B.Tech,Engineer,"Research, Scientific Knowledge",3 years,MD
Science,B.Sc,Lab Technician,"Hands-on Medical Skills, Patient Care Expertise",5 years,Medical Specialization
Science,Engineering,Researcher,"Innovation, Creativity in Solutions",4 years,MCA
Science,Microbiology,Pharmacist,"Data Analysis, Laboratory Techniques",4 years,M.Pharm
Science,Biotechnology,Lab Technician,"Technical Skills, Engineering Fundamentals",2 years,Biotechnology PG
Science,Nursing,Doctor,"Data Analysis, Laboratory Techniques",4 years,M.Tech
Science,MBBS,Engineer,"Data Analysis, Laboratory Techniques",2 years,MCA
Science,Engineering,Researcher,"Hands-on Medical Skills, Patient Care Expertise",3 years,MCA
Science,MBBS,Data Scientist,"Research, Scientific Knowledge",2 years,M.Tech
Science,B.Tech,Engineer,"Research, Scientific Knowledge",2 years,Biotechnology PG
Science,Nursing,Lab Technician,"Research, Scientific Knowledge",2 years,M.Tech
Science,B.Sc,Pharmacist,"Technical Skills, Engineering Fundamentals",4 years,Biotechnology PG
Science,Nursing,Lab Technician,"Innovation, Creativity in Solutions",5 years,MCA
Science,Microbiology,Data Scientist,"Problem-Solving, Analytical Thinking",3 years,MD
Science,B.Tech,Data Scientist,"Data Analysis, Laboratory Techniques",2 years,M.Pharm
Science,Nursing,Researcher,"Innovation, Creativity in Solutions",4 years,Medical Specialization
Science,MBBS,Pharmacist,"Technical Skills, Engineering Fundamentals",5 years,MCA
Science,Microbiology,Pharmacist,"Innovation, Creativity in Solutions",5 years,M.Sc
Science,Engineering,Lab Technician,"Technical Skills, Engineering Fundamentals",2 years,MD
Science,B.Tech,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",3 years,M.Sc
Science,Microbiology,Doctor,"Hands-on Medical Skills, Patient Care Expertise",4 years,MCA
Science,Engineering,Pharmacist,"Innovation, Creativity in Solutions",4 years,Biotechnology PG
Science,Biotechnology,Researcher,"Problem-Solving, Analytical Thinking",2 years,MD
Science,B.Pharm,Data Scientist,"Research, Scientific Knowledge",4 years,M.Tech
Science,B.Tech,Researcher,"Innovation, Creativity in Solutions",3 years,M.Tech
Science,Biotechnology,Engineer,"Technical Skills, Engineering Fundamentals",2 years,M.Pharm
Science,B.Tech,Pharmacist,"Data Analysis, Laboratory Techniques",3 years,M.Tech
Science,MBBS,Engineer,"Data Analysis, Laboratory Techniques",4 years,M.Pharm
Science,Microbiology,Doctor,"Problem-Solving, Analytical Thinking",3 years,MD
Science,Biotechnology,Researcher,"Hands-on Medical Skills, Patient Care Expertise",3 years,MS
Science,Nursing,Researcher,"Data Analysis, Laboratory Techniques",5 years,M.Pharm
Science,Biotechnology,Pharmacist,"Data Analysis, Laboratory Techniques",5 years,M.Tech
Science,MBBS,Researcher,"Data Analysis, Laboratory Techniques",4 years,M.Sc
Science,Nursing,Engineer,"Innovation, Creativity in Solutions",2 years,MS
Science,Engineering,Pharmacist,"Research, Scientific Knowledge",4 years,M.Sc
Science,B.Sc,Researcher,"Data Analysis, Laboratory Techniques",5 years,MD
Science,B.Tech,Data Scientist,"Data Analysis, Laboratory Techniques",5 years,Medical Specialization
Science,B.Sc,Researcher,"Technical Skills, Engineering Fundamentals",2 years,M.Sc
Science,MBBS,Researcher,"Hands-on Medical Skills, Patient Care Expertise",5 years,MCA
Science,Biotechnology,Engineer,"Problem-Solving, Analytical Thinking",2 years,M.Pharm
Science,Biotechnology,Doctor,"Problem-Solving, Analytical Thinking",4 years,M.Tech
Science,B.Sc,Doctor,"Research, Scientific Knowledge",4 years,MCA
Science,Biotechnology,Researcher,"Innovation, Creativity in Solutions",3 years,MS
Science,Engineering,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",5 years,Biotechnology PG
Science,Biotechnology,Doctor,"Data Analysis, Laboratory Techniques",4 years,M.Pharm
Science,Engineering,Researcher,"Innovation, Creativity in Solutions",3 years,MCA
Science,B.Sc,Engineer,"Innovation, Creativity in Solutions",4 years,Medical Specialization
Science,B.Tech,Data Scientist,"Research, Scientific Knowledge",5 years,M.Pharm
Science,Biotechnology,Data Scientist,"Research, Scientific Knowledge",3 years,Biotechnology PG
Science,Nursing,Data Scientist,"Research, Scientific Knowledge",5 years,MS
Science,B.Tech,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",5 years,M.Sc
Science,Microbiology,Researcher,"Technical Skills, Engineering Fundamentals",5 years,M.Pharm
Science,MBBS,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",2 years,MCA
Science,B.Pharm,Lab Technician,"Problem-Solving, Analytical Thinking",4 years,M.Pharm
Science,B.Sc,Researcher,"Hands-on Medical Skills, Patient Care Expertise",2 years,MD
Science,B.Pharm,Pharmacist,"Research, Scientific Knowledge",5 years,M.Tech
Science,B.Pharm,Researcher,"Problem-Solving, Analytical Thinking",2 years,Biotechnology PG
Science,Biotechnology,Engineer,"Hands-on Medical Skills, Patient Care Expertise",5 years,MD
Science,Engineering,Lab Technician,"Data Analysis, Laboratory Techniques",3 years,MS
Science,B.Tech,Engineer,"Data Analysis, Laboratory Techniques",2 years,Medical Specialization
Science,Nursing,Researcher,"Technical Skills, Engineering Fundamentals",3 years,MCA
Science,Engineering,Researcher,"Hands-on Medical Skills, Patient Care Expertise",3 years,M.Tech
Science,Biotechnology,Researcher,"Innovation, Creativity in Solutions",3 years,MD
Science,MBBS,Lab Technician,"Hands-on Medical Skills, Patient Care Expertise",5 years,M.Sc
Science,MBBS,Doctor,"Problem-Solving, Analytical Thinking",2 years,M.Sc
Science,B.Sc,Lab Technician,"Research, Scientific Knowledge",3 years,Medical Specialization
Science,B.Sc,Data Scientist,"Research, Scientific Knowledge",2 years,MD
Science,Nursing,Engineer,"Data Analysis, Laboratory Techniques",5 years,M.Sc
Science,B.Pharm,Researcher,"Research, Scientific Knowledge",2 years,MCA
Science,Biotechnology,Researcher,"Technical Skills, Engineering Fundamentals",3 years,Medical Specialization
Science,Microbiology,Engineer,"Research, Scientific Knowledge",4 years,M.Pharm
Science,B.Tech,Doctor,"Innovation, Creativity in Solutions",2 years,M.Pharm
Science,Microbiology,Lab Technician,"Research, Scientific Knowledge",5 years,Biotechnology PG
Science,MBBS,Lab Technician,"Data Analysis, Laboratory Techniques",3 years,Medical Specialization
Science,MBBS,Researcher,"Innovation, Creativity in Solutions",2 years,Biotechnology PG
Science,B.Tech,Researcher,"Hands-on Medical Skills, Patient Care Expertise",5 years,Medical Specialization
Science,Nursing,Engineer,"Problem-Solving, Analytical Thinking",4 years,Medical Specialization
Science,Biotechnology,Researcher,"Problem-Solving, Analytical Thinking",5 years,M.Sc
Science,B.Tech,Doctor,"Problem-Solving, Analytical Thinking",5 years,MS
Science,Engineering,Lab Technician,"Technical Skills, Engineering Fundamentals",2 years,Medical Specialization
Science,Microbiology,Data Scientist,"Hands-on Medical Skills, Patient Care Expertise",4 years,Medical Specialization
Science,B.Pharm,Engineer,"Problem-Solving, Analytical Thinking",3 years,MS
Science,B.Pharm,Lab Technician,"Data Analysis, Laboratory Techniques",4 years,Medical Specialization
Science,B.Pharm,Researcher,"Innovation, Creativity in Solutions",5 years,MS
Science,B.Tech,Doctor,"Research, Scientific Knowledge",2 years,MS
Science,Nursing,Data Scientist,"Data Analysis, Laboratory Techniques",5 years,MS
Science,Engineering,Lab Technician,"Technical Skills, Engineering Fundamentals",5 years,MD
Science,Biotechnology,Engineer,"Research, Scientific Knowledge",5 years,MD
Science,Biotechnology,Data Scientist,"Problem-Solving, Analytical Thinking",3 years,MD
Science,Engineering,Pharmacist,"Research, Scientific Knowledge",4 years,M.Sc
Science,Biotechnology,Lab Technician,"Research, Scientific Knowledge",3 years,Medical Specialization
Science,Nursing,Engineer,"Data Analysis, Laboratory Techniques",2 years,MCA
Science,Biotechnology,Engineer,"Hands-on Medical Skills, Patient Care Expertise",4 years,MD
Science,Biotechnology,Engineer,"Technical Skills, Engineering Fundamentals",3 years,M.Tech
Science,B.Tech,Doctor,"Problem-Solving, Analytical Thinking",2 years,Biotechnology PG
Science,B.Sc,Data Scientist,"Data Analysis, Laboratory Techniques",3 years,M.Sc
Science,Microbiology,Data Scientist,"Research, Scientific Knowledge",4 years,M.Tech
Science,Biotechnology,Doctor,"Data Analysis, Laboratory Techniques",3 years,MD
Science,B.Pharm,Data Scientist,"Research, Scientific Knowledge",2 years,M.Pharm
Science,B.Pharm,Data Scientist,"Data Analysis, Laboratory Techniques",3 years,M.Tech
Science,B.Tech,Data Scientist,"Innovation, Creativity in Solutions",4 years,MCA
Science,B.Tech,Doctor,"Technical Skills, Engineering Fundamentals",5 years,M.Tech
Science,Engineering,Data Scientist,"Research, Scientific Knowledge",2 years,MS
Science,Microbiology,Researcher,"Technical Skills, Engineering Fundamentals",4 years,Medical Specialization
Science,MBBS,Doctor,"Research, Scientific Knowledge",5 years,MCA
Science,B.Sc,Data Scientist,"Technical Skills, Engineering Fundamentals",2 years,MS
Science,B.Pharm,Data Scientist,"Innovation, Creativity in Solutions",3 years,M.Pharm
Science,B.Pharm,Lab Technician,"Data Analysis, Laboratory Techniques",5 years,MD
Science,Microbiology,Doctor,"Data Analysis, Laboratory Techniques",5 years,M.Pharm
Science,Microbiology,Pharmacist,"Research, Scientific Knowledge",5 years,MCA
Science,Engineering,Doctor,"Data Analysis, Laboratory Techniques",2 years,M.Pharm
Science,B.Tech,Engineer,"Innovation, Creativity in Solutions",5 years,M.Sc
Science,Biotechnology,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",4 years,MD
Science,MBBS,Researcher,"Innovation, Creativity in Solutions",2 years,MD
Science,MBBS,Pharmacist,"Innovation, Creativity in Solutions",5 years,M.Pharm
Science,Nursing,Pharmacist,"Innovation, Creativity in Solutions",2 years,MCA
Science,Engineering,Lab Technician,"Data Analysis, Laboratory Techniques",3 years,M.Sc
Science,MBBS,Pharmacist,"Technical Skills, Engineering Fundamentals",3 years,MS
Science,Engineering,Data Scientist,"Innovation, Creativity in Solutions",2 years,MD
Science,B.Pharm,Data Scientist,"Problem-Solving, Analytical Thinking",5 years,MS
Science,B.Sc,Lab Technician,"Research, Scientific Knowledge",4 years,Biotechnology PG
Science,B.Pharm,Doctor,"Innovation, Creativity in Solutions",5 years,MD
Science,Engineering,Pharmacist,"Technical Skills, Engineering Fundamentals",4 years,MS
Science,B.Tech,Doctor,"Hands-on Medical Skills, Patient Care Expertise",4 years,M.Pharm
Science,Engineering,Lab Technician,"Problem-Solving, Analytical Thinking",4 years,MCA
Science,Microbiology,Data Scientist,"Problem-Solving, Analytical Thinking",3 years,Biotechnology PG
Science,Engineering,Lab Technician,"Technical Skills, Engineering Fundamentals",5 years,Biotechnology PG
Science,B.Sc,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",3 years,M.Sc
Science,B.Tech,Lab Technician,"Hands-on Medical Skills, Patient Care Expertise",5 years,M.Tech
Science,Nursing,Data Scientist,"Problem-Solving, Analytical Thinking",3 years,M.Tech
Science,B.Sc,Data Scientist,"Technical Skills, Engineering Fundamentals",4 years,MS
Science,Engineering,Engineer,"Hands-on Medical Skills, Patient Care Expertise",4 years,M.Tech
